Rooms,Area,Bathrooms,Condition,Region,Price_Range
4,174.58,3,4,10,3
4,174.58,3,4,10,3
3,70.0,2,2,10,3
3,144.0,2,1,11,4
3,118.0,2,3,11,3
5,218.0,4,5,9,3
3,212.5,3,5,10,3
4,237.0,4,1,10,4
3,209.0,4,2,10,4
3,319.0,4,1,10,4
4,339.0,4,5,9,3
3,449.85,4,3,9,4
3,201.0,3,5,10,4
3,157.04,3,4,10,4
4,249.0,4,2,10,5
1,47.0,1,3,24,0
4,250.0,3,1,10,4
5,333.0,4,5,10,4
3,187.0,3,4,10,4
4,258.0,4,1,10,4
2,120.0,2,4,10,3
2,120.0,2,2,10,3
3,129.1,1,2,11,3
5,372.0,4,5,10,4
4,306.0,3,5,10,3
4,185.0,2,5,9,3
3,175.0,2,1,12,3
4,229.0,3,5,11,4
3,149.0,1,3,9,3
6,242.0,2,3,9,3
2,110.0,1,3,11,1
3,157.0,3,4,11,3
3,184.0,3,5,10,4
4,270.0,3,2,11,4
4,198.0,4,5,11,3
5,244.0,4,5,11,4
3,166.0,2,5,25,4
4,324.0,4,5,10,3
4,205.0,4,1,10,4
4,243.0,4,5,10,4
6,254.0,1,0,10,3
4,214.0,3,5,11,3
7,1894.0,4,2,11,5
4,340.0,4,5,10,4
5,487.0,3,5,10,5
3,430.0,3,1,11,5
4,265.0,3,5,26,4
4,253.0,3,5,11,4
4,208.0,1,3,11,1
5,300.0,4,1,11,4
4,192.0,3,1,11,4
4,237.0,3,4,11,4
4,276.0,3,4,11,5
3,248.0,3,4,11,5
4,294.0,4,4,11,5
4,251.0,3,5,11,4
4,200.0,3,5,11,3
4,300.0,4,5,11,4
3,165.0,4,5,10,3
4,135.0,2,5,11,3
3,151.0,2,1,10,3
5,230.0,2,3,10,4
2,332.0,1,3,10,1
3,2120.0,3,4,11,4
4,74.0,2,5,11,3
2,166.0,2,5,11,3
4,234.2,4,5,11,3
3,135.0,1,2,10,3
3,138.0,1,5,11,3
8,465.0,4,4,10,4
3,120.0,1,3,11,1
1,74.0,1,3,24,1
3,94.0,2,1,10,3
5,300.0,4,5,10,3
4,280.0,4,5,11,4
3,111.0,2,1,10,3
3,220.0,3,1,10,4
3,103.0,2,3,10,1
2,70.0,1,3,25,0
3,156.4,3,5,11,3
4,110.0,3,5,10,3
5,199.0,2,5,11,3
4,160.0,3,4,11,3
2,150.0,2,5,11,3
2,42.0,1,5,11,2
4,180.0,4,5,11,3
4,87.0,2,5,11,4
4,228.0,3,4,11,4
3,231.0,2,5,11,3
3,132.0,3,4,11,4
3,148.0,3,4,11,3
2,121.0,2,5,11,3
4,227.0,4,5,11,4
4,405.0,4,5,10,5
1,74.0,1,5,11,2
4,135.4,3,5,11,3
3,183.2,3,5,9,3
2,48.0,1,2,10,3
5,49.0,1,5,11,2
4,280.0,2,3,11,1
3,145.0,2,1,10,4
4,290.0,4,2,11,3
5,250.75,4,5,10,4
2,150.0,2,5,10,3
4,115.0,1,3,11,3
3,175.0,3,5,10,3
4,230.49,4,5,11,3
3,360.0,4,2,11,3
3,358.0,4,5,10,4
4,200.0,2,5,11,4
4,194.0,4,5,10,3
3,358.0,4,2,10,4
4,104.28,2,2,10,3
4,203.0,4,5,10,4
3,159.63,2,1,10,3
3,171.1,3,5,10,3
3,180.0,2,5,10,4
3,190.0,3,5,10,3
4,257.0,3,3,10,3
3,127.0,2,1,10,3
5,274.0,4,5,10,3
4,168.0,2,5,10,4
4,596.0,4,5,9,5
3,164.78,3,4,10,3
3,207.0,4,4,10,4
4,250.0,4,4,10,4
3,368.26,3,4,10,4
3,200.0,3,1,10,4
4,198.39,3,4,10,4
3,355.0,4,5,10,3
4,550.0,4,5,10,4
3,150.0,3,5,10,4
3,211.0,3,1,10,3
3,91.0,2,5,10,3
3,85.0,3,5,11,1
4,146.0,2,5,10,3
3,155.0,1,5,10,3
5,240.0,4,5,10,3
3,211.0,3,5,10,3
5,117.0,3,5,10,3
3,212.0,3,1,10,4
2,107.0,2,2,10,3
4,265.0,3,1,25,4
3,211.0,3,2,10,3
7,470.0,4,2,10,5
4,246.0,4,1,11,5
4,300.0,4,5,10,4
3,88.0,1,3,10,3
3,125.0,2,4,10,3
5,300.0,4,5,10,4
4,237.0,3,5,9,5
3,161.0,3,5,10,3
3,184.0,2,1,10,3
3,227.0,3,5,10,4
4,240.0,3,5,10,4
5,1004.0,3,5,11,4
2,65.0,2,3,10,2
3,144.0,3,3,10,3
2,128.0,1,5,9,3
3,113.0,3,5,10,3
5,373.0,4,5,11,5
6,233.0,4,2,11,3
4,271.0,4,1,11,4
3,203.0,4,4,10,4
3,200.0,3,4,10,3
4,192.0,4,4,11,4
3,175.0,2,5,10,2
3,169.0,3,1,10,4
4,257.0,3,2,10,3
3,88.0,3,2,10,3
3,137.0,3,4,10,4
3,159.0,3,2,10,3
4,290.99,4,2,10,5
3,209.0,3,4,10,4
3,250.0,3,5,10,3
3,240.0,3,4,10,4
3,191.0,4,5,10,3
3,87.0,3,1,10,3
3,87.0,3,1,10,3
3,223.0,3,1,11,4
2,99.0,1,4,10,3
3,90.1,3,1,11,3
4,164.0,4,5,9,3
3,192.0,2,1,10,3
2,186.0,3,1,11,3
3,117.0,2,1,10,3
3,201.0,3,1,10,4
3,241.2,3,5,9,4
3,108.0,1,3,10,2
3,259.0,2,5,11,3
3,350.0,3,5,10,4
3,150.0,2,1,10,4
4,200.0,4,2,10,4
4,199.0,4,5,10,3
3,397.2,2,5,10,3
0,310.0,4,5,10,4
3,160.0,3,2,10,3
3,147.0,3,1,11,3
3,148.0,3,1,11,3
3,90.31,2,1,11,4
6,550.0,4,5,11,5
3,170.0,2,4,10,4
3,170.0,2,4,10,4
4,177.0,4,5,11,3
4,240.0,4,5,10,4
2,99.0,1,4,11,3
2,99.0,1,4,11,3
2,99.0,1,4,11,3
2,99.0,1,4,10,3
2,99.0,1,4,10,3
4,176.0,3,1,10,3
3,237.0,3,4,10,4
3,192.0,2,4,10,3
4,300.0,3,5,11,3
3,182.0,2,5,11,4
3,150.0,2,4,10,4
3,177.0,4,5,9,4
3,310.0,4,5,10,4
4,251.7,4,1,10,4
4,228.3,3,4,11,4
3,273.0,1,2,9,4
4,500.0,4,5,11,5
3,241.0,4,5,10,4
3,449.0,4,5,9,4
3,207.0,3,1,10,4
2,100.0,3,2,25,3
2,82.0,1,0,10,2
4,290.0,4,5,11,3
4,700.0,4,4,9,4
4,1225.0,4,5,10,5
4,265.0,3,1,11,3
6,362.0,4,5,11,5
4,185.0,2,5,9,3
3,142.0,3,1,10,3
2,351.0,2,5,11,2
3,181.0,2,5,11,3
7,359.52,4,5,10,4
2,251.0,4,3,10,4
3,177.14,3,5,10,3
3,245.0,3,1,10,4
3,155.0,3,5,10,3
4,74.32,1,3,11,3
4,596.45,4,5,11,5
4,257.0,4,2,9,5
3,505.0,4,5,9,4
4,203.0,4,5,10,3
2,131.0,3,1,11,3
3,175.0,3,5,11,3
2,107.0,1,5,10,3
3,249.0,3,4,11,3
3,208.0,4,5,9,3
4,202.0,3,5,10,4
3,143.25,2,2,11,3
3,230.4,2,4,11,4
3,201.0,3,4,10,3
7,276.7,2,3,10,3
4,183.0,4,2,11,3
4,350.0,4,5,11,3
4,208.0,3,2,10,4
3,160.0,1,5,10,1
4,200.0,2,5,10,3
5,574.0,4,5,10,4
3,178.0,2,4,11,3
4,286.0,4,1,9,5
3,381.0,4,1,10,4
4,252.0,3,5,11,4
4,157.0,3,4,11,3
6,279.0,2,3,11,2
4,344.0,4,1,11,4
1,34.0,1,3,10,1
6,470.0,2,5,10,5
3,210.0,3,5,10,4
3,213.0,3,5,11,3
4,250.0,4,5,10,4
2,71.0,1,5,11,1
3,139.3,3,4,10,3
3,153.0,3,1,10,3
2,49.0,1,2,11,2
3,100.0,1,5,24,2
3,184.0,3,4,10,4
3,200.0,3,5,9,3
4,218.0,3,5,9,3
4,252.0,4,1,10,4
3,211.0,3,5,10,4
3,121.0,3,1,10,3
4,506.0,4,5,11,4
4,283.0,4,4,11,4
4,274.0,4,5,10,4
3,220.0,3,1,9,4
8,220.0,2,5,26,4
5,535.0,4,5,10,5
3,131.0,3,4,11,3
4,210.0,4,5,11,3
4,332.0,4,4,11,5
4,163.0,3,4,11,4
4,162.0,3,4,11,4
3,384.0,4,1,10,4
4,147.0,3,5,10,3
4,274.0,1,3,12,2
3,316.78,3,5,10,4
4,255.85,4,5,10,4
4,283.26,4,4,11,4
3,209.0,4,5,10,3
3,220.0,3,5,10,3
4,304.0,3,5,9,4
3,256.0,4,2,11,4
4,155.34,3,5,10,3
4,178.0,3,1,11,3
4,272.0,4,5,10,4
4,228.0,4,5,10,3
4,315.0,3,2,11,4
4,190.0,4,4,11,4
3,190.0,3,4,11,4
4,197.85,4,4,11,4
3,346.0,3,5,9,4
4,327.0,3,4,11,5
4,300.0,3,4,11,4
3,375.55,1,5,10,3
3,148.0,3,1,10,3
5,291.0,4,1,10,4
5,450.0,3,5,11,4
4,554.0,4,5,10,5
1,71.0,1,5,24,1
3,184.88,4,5,10,3
4,328.0,4,2,25,4
3,280.6,4,1,10,4
3,277.6,4,1,10,4
10,800.0,4,2,11,5
4,292.0,3,4,11,5
3,182.0,3,5,9,3
5,507.0,4,1,10,5
3,240.0,3,1,10,3
3,240.0,3,1,10,3
4,180.0,3,5,10,4
3,180.9,4,5,10,4
3,240.0,3,4,9,4
4,228.0,4,5,10,3
8,135.0,4,3,11,3
4,145.0,3,5,10,3
3,260.0,3,1,10,3
6,409.5,4,5,11,5
6,320.0,4,5,11,4
4,350.0,4,5,11,3
4,193.0,3,5,10,3
2,2820.0,2,5,10,3
2,164.42,1,3,10,2
3,257.0,3,1,10,4
4,216.0,3,4,10,4
4,253.0,4,4,11,5
4,239.0,4,4,11,5
4,177.0,3,4,11,4
4,257.2,4,4,11,5
4,285.7,3,4,11,5
4,350.0,4,4,11,5
4,252.4,3,4,11,4
4,252.4,3,4,11,5
3,207.0,3,4,11,5
3,155.6,2,4,11,3
3,123.55,3,4,11,3
4,305.0,4,1,9,4
4,170.0,3,4,11,3
6,250.0,4,5,10,3
3,247.0,4,4,11,4
4,268.0,2,1,11,3
4,177.5,4,5,10,4
3,215.0,3,4,9,3
4,273.26,4,2,10,4
3,220.0,4,4,10,4
4,209.0,3,5,10,4
3,240.0,3,1,10,4
4,145.0,3,4,11,3
3,155.0,3,1,10,4
3,258.9,3,5,10,3
4,260.0,4,4,10,4
3,180.0,3,1,9,4
4,1340.0,4,5,9,5
3,110.0,2,1,11,4
3,312.0,3,5,10,4
4,1352.0,4,5,9,5
4,400.0,3,5,9,4
3,159.0,3,5,11,3
4,134.6,2,5,11,3
4,218.0,3,2,9,3
6,875.0,4,5,10,5
3,227.0,3,5,11,4
4,2987.0,4,5,10,5
2,146.0,3,5,11,3
4,215.0,4,2,10,4
4,460.0,4,5,10,4
3,234.0,3,2,10,4
3,191.0,3,2,10,3
3,113.0,2,5,11,3
4,160.0,2,5,11,3
3,117.0,2,2,11,3
3,160.0,3,5,10,3
2,152.06,3,1,11,3
4,200.0,3,5,11,4
3,84.0,1,5,10,3
5,205.0,3,3,10,3
3,444.0,4,1,11,5
3,111.0,2,2,10,3
3,180.0,2,5,11,3
4,252.0,4,1,10,4
4,252.0,4,1,10,4
4,252.0,4,1,10,4
3,160.0,3,5,9,3
4,158.0,3,5,11,3
6,186.0,4,5,11,3
3,449.85,4,2,9,4
3,130.0,2,5,10,3
3,120.0,2,5,10,3
4,302.0,4,5,10,4
2,183.0,3,4,11,4
4,210.0,2,5,11,3
4,178.0,4,5,10,3
4,180.0,3,5,11,3
4,231.0,3,5,10,4
5,249.5,3,5,24,3
3,125.0,3,5,10,3
10,90.0,1,0,10,3
4,225.0,4,5,11,3
4,59.55,3,5,11,3
4,135.0,2,5,10,3
0,151.0,2,1,10,3
3,78.0,1,5,11,2
3,133.0,3,4,11,4
4,386.0,3,4,11,5
2,300.0,1,5,9,4
5,260.0,4,2,10,4
3,248.7,3,4,11,5
4,174.0,4,4,11,4
4,220.0,3,4,11,4
3,143.0,3,4,11,4
4,197.1,3,1,11,3
4,348.0,4,5,11,3
4,177.8,3,5,11,3
3,260.0,3,1,10,3
6,200.0,1,3,11,2
4,250.0,3,5,10,4
4,243.75,4,1,11,5
4,200.0,4,5,10,4
3,127.5,2,5,10,3
2,90.0,1,5,10,3
2,85.0,1,3,11,3
2,24.0,2,5,11,3
4,179.25,3,5,10,4
3,386.5,2,3,10,3
3,84.0,2,2,11,3
4,439.0,4,2,10,5
4,316.8,2,3,9,4
4,219.03,3,5,10,4
3,315.0,3,5,10,4
3,120.7,1,5,10,3
3,186.0,1,3,10,2
4,330.0,4,4,9,4
8,321.74,2,3,9,4
3,138.0,2,3,10,3
10,438.0,4,5,11,5
4,158.0,2,5,11,3
4,179.0,3,2,10,3
3,138.0,1,5,11,3
3,262.0,3,5,11,3
2,112.0,3,3,11,1
5,138.5,2,5,10,4
2,62.0,1,3,10,3
3,68.0,1,3,10,2
2,120.0,1,5,11,2
4,239.0,4,4,10,4
4,123.0,3,2,10,3
3,207.0,4,4,10,4
3,203.0,4,4,10,4
3,290.0,1,2,11,3
1,53.0,2,2,10,3
3,249.0,3,5,10,3
3,172.3,3,5,9,3
3,120.0,2,5,10,3
3,97.0,2,5,10,3
4,100.0,3,5,10,4
3,117.0,2,2,10,3
6,207.0,2,5,9,4
2,162.0,1,3,10,3
3,136.1,3,4,10,3
4,168.0,3,2,10,4
3,250.0,3,1,10,4
2,78.0,2,2,9,3
4,260.0,2,5,10,3
4,118.0,2,5,10,3
3,92.0,2,2,10,3
3,150.0,4,5,10,3
3,154.0,4,2,10,3
3,140.0,3,5,10,3
3,254.0,2,3,10,2
3,265.0,4,4,11,4
3,210.0,3,5,10,3
3,227.6,2,3,11,2
4,348.0,4,5,11,4
4,162.0,3,5,9,4
2,87.0,2,2,10,3
3,180.0,2,1,10,4
3,167.0,3,4,10,4
3,272.52,3,2,9,4
3,152.0,1,3,10,2
3,62.0,1,3,10,2
3,345.0,2,5,10,3
4,258.0,4,1,10,4
5,255.0,2,3,10,4
3,136.1,3,4,10,3
3,171.0,3,5,10,3
4,288.0,3,5,11,3
3,120.0,2,1,10,3
3,120.0,2,1,10,3
3,244.0,3,2,10,3
3,120.0,2,5,10,3
2,88.0,2,2,25,2
3,190.0,2,5,10,3
4,184.0,2,5,11,3
4,208.0,3,5,9,4
4,274.0,2,5,9,3
3,75.0,1,5,10,2
3,160.0,2,5,10,3
5,260.0,4,5,10,3
5,300.0,4,5,10,3
5,312.0,4,5,10,3
3,218.0,4,1,10,4
3,111.0,2,5,10,3
4,196.2,3,5,9,4
3,77.0,2,5,10,3
3,120.0,2,4,10,3
3,148.0,3,1,11,4
5,295.0,4,5,10,4
4,144.0,2,2,9,4
4,194.72,3,5,10,3
3,492.0,2,3,10,3
2,79.0,1,2,11,1
3,297.0,2,5,10,3
4,135.0,4,4,11,3
3,258.9,2,5,10,3
3,125.0,2,5,10,3
3,235.0,4,5,10,4
4,166.85,3,4,11,4
3,511.6,4,5,10,5
3,505.0,4,3,9,4
3,214.0,1,1,11,3
4,297.0,2,1,9,4
4,234.0,3,4,11,4
3,147.0,2,2,25,3
3,149.1,3,5,10,4
3,272.0,4,5,10,4
4,198.0,4,1,11,4
10,706.0,2,5,11,4
3,135.0,2,5,10,3
3,192.0,4,1,10,4
7,600.0,1,3,10,3
4,155.0,2,5,11,3
3,178.0,2,4,11,3
3,145.0,2,4,11,3
4,400.0,4,1,9,4
4,200.0,2,5,10,3
3,239.0,4,5,10,3
4,245.7,2,5,10,4
3,350.0,2,5,10,3
6,231.0,3,5,10,3
3,265.39,2,5,10,3
3,120.0,3,5,9,4
3,230.0,3,4,11,3
3,230.0,3,4,11,3
4,178.0,3,4,11,3
3,150.0,2,4,11,4
4,207.8,3,5,9,4
3,242.0,3,5,25,3
2,320.0,3,2,10,3
3,173.0,2,2,10,3
3,254.0,1,5,9,3
5,227.25,4,5,11,4
4,209.0,3,5,10,4
4,178.0,3,1,11,3
3,230.0,3,5,11,4
3,165.0,3,4,10,3
3,258.0,3,2,10,4
2,98.0,2,4,10,3
2,80.0,1,5,10,2
4,290.0,3,4,11,3
3,158.0,3,2,11,4
3,210.0,3,4,9,4
3,130.0,3,1,11,3
0,127.0,3,4,10,3
3,194.0,3,5,9,4
5,120.5,2,3,11,4
4,244.0,4,4,11,5
5,260.0,4,5,11,3
6,333.63,4,5,11,5
3,342.0,3,3,10,3
1,41.3,1,5,10,1
4,191.0,4,5,11,4
2,70.0,1,5,10,3
3,216.0,2,5,9,4
3,144.0,3,5,10,3
3,188.1,1,5,10,4
4,227.0,3,4,11,4
5,200.7,3,2,11,3
3,380.0,3,5,10,4
3,105.0,1,3,25,2
3,166.0,4,5,10,3
4,249.0,3,4,10,3
4,234.4,4,5,11,4
1,68.02,1,3,25,1
3,220.0,3,4,10,4
4,274.4,3,5,10,4
4,152.0,4,5,9,5
3,137.0,2,5,10,4
3,224.22,3,5,10,3
3,177.0,3,4,11,3
0,662.42,2,5,11,3
2,84.0,1,3,10,1
5,260.0,2,5,11,4
5,545.0,3,5,10,4
4,268.0,1,5,10,2
4,265.0,3,5,10,3
4,240.0,3,4,11,4
3,178.0,4,5,10,3
3,91.0,1,3,11,3
2,187.2,2,5,10,3
0,50.0,1,3,11,2
3,230.0,2,4,11,4
4,398.0,3,5,26,3
2,64.0,1,2,11,3
1,70.0,1,2,10,3
3,252.0,4,5,9,4
2,147.5,1,3,10,1
2,103.0,1,3,10,2
3,187.0,3,5,10,2
2,134.0,1,3,11,1
4,204.0,3,5,11,3
3,383.08,2,5,25,3
3,231.0,3,2,9,3
3,170.0,2,5,11,3
5,284.0,4,2,9,3
3,160.0,2,5,9,3
4,317.0,4,5,11,4
3,310.0,4,5,11,4
5,291.0,4,5,10,4
3,200.0,3,5,11,3
3,114.0,2,5,11,3
3,75.0,1,2,10,2
3,125.0,3,1,10,3
4,335.0,4,5,11,3
3,245.0,4,5,10,4
4,200.0,3,5,10,4
5,282.0,4,5,11,4
4,220.0,3,2,11,3
7,562.0,4,5,10,4
3,160.0,3,4,10,4
3,353.0,4,5,10,4
3,107.0,3,3,9,3
3,87.0,1,5,11,3
4,145.0,3,4,11,3
3,241.5,2,5,11,4
3,384.0,4,5,10,4
3,175.6,4,5,11,3
3,73.0,2,2,11,3
3,114.0,2,5,10,3
3,172.0,4,2,11,3
4,214.0,4,1,10,4
4,227.25,4,5,11,4
4,247.0,3,5,10,4
4,240.0,2,3,10,2
4,243.44,4,5,9,5
3,364.0,4,5,11,4
3,260.0,4,5,10,3
8,319.55,4,5,10,4
4,228.0,3,5,11,3
4,280.0,4,5,10,3
3,252.0,3,4,10,4
3,230.0,3,5,10,3
1,41.3,1,3,10,1
3,191.7,3,1,10,4
4,285.0,4,4,10,4
4,253.0,4,4,11,5
3,116.0,2,5,25,2
3,232.0,3,5,10,3
4,228.0,4,2,10,4
4,250.0,3,4,10,3
4,400.0,3,1,9,4
4,140.0,3,5,11,2
4,307.6,3,5,10,4
4,230.0,2,5,10,3
3,130.0,3,5,9,3
3,191.0,3,1,10,3
3,237.0,3,1,10,4
2,62.0,1,5,10,3
2,122.0,1,3,9,3
3,197.0,4,2,10,4
3,300.0,3,1,10,4
3,110.0,2,1,11,3
4,162.0,1,0,11,3
3,143.0,2,5,11,3
3,227.0,2,1,10,4
4,586.0,4,5,9,5
3,258.0,3,5,10,3
4,150.0,3,5,10,3
4,244.0,3,5,10,4
3,188.0,3,5,9,3
3,128.5,1,5,10,3
3,180.0,2,5,9,3
3,165.0,2,5,10,3
4,186.0,2,2,10,4
3,188.0,4,5,10,4
2,77.0,1,5,10,3
2,81.0,2,5,25,2
2,66.0,1,5,9,2
3,290.0,3,1,10,3
2,108.0,2,5,10,2
3,35.0,1,5,10,2
3,189.0,3,3,9,3
4,280.0,2,5,9,3
4,170.0,2,5,9,2
3,187.0,3,1,10,3
8,541.0,3,5,24,2
2,203.0,2,5,11,3
3,127.0,3,1,10,3
4,691.0,4,4,9,4
2,48.0,1,2,11,2
3,172.27,3,5,11,3
2,65.0,1,5,11,3
2,85.32,2,5,11,3
3,122.0,1,5,11,1
5,223.7,4,5,10,3
3,123.52,2,5,11,3
3,157.0,2,3,10,2
3,73.25,2,4,11,3
5,140.0,2,5,9,3
4,135.8,3,5,11,3
3,180.0,2,1,11,3
4,242.0,3,5,11,3
3,360.0,4,5,11,3
3,155.0,2,5,11,3
5,259.0,4,4,11,3
3,88.0,1,3,11,2
4,246.0,4,2,11,5
4,165.0,4,5,11,3
2,100.0,1,5,11,1
3,383.0,2,5,25,3
3,135.0,4,4,11,3
4,200.0,4,1,11,4
3,150.0,3,4,11,3
4,135.0,2,5,11,3
4,189.7,3,4,11,4
4,189.7,3,4,11,4
4,204.0,2,5,10,3
5,149.0,3,1,11,3
1,62.0,1,2,10,2
3,180.0,3,5,11,3
3,381.0,2,4,11,4
3,93.0,2,2,9,3
5,193.0,4,1,10,4
3,80.0,3,2,11,3
5,195.0,2,5,11,3
3,119.0,1,2,11,3
3,190.0,3,5,11,4
3,109.0,1,5,11,3
3,243.75,4,1,11,5
4,300.0,2,0,10,3
3,85.0,2,4,11,3
2,353.0,1,3,11,2
2,128.0,1,3,11,2
4,239.0,4,1,10,4
2,84.0,1,5,10,1
5,274.0,4,5,9,4
4,132.7,3,5,10,3
3,171.3,3,2,10,3
3,99.0,1,5,10,2
3,148.75,4,4,11,4
4,210.0,3,4,11,5
3,215.0,3,5,9,4
5,263.0,3,5,11,3
3,180.0,3,4,10,4
3,138.0,2,4,10,3
4,130.7,4,1,11,4
4,167.15,3,4,11,3
4,204.0,4,5,11,3
4,165.0,2,2,11,3
6,372.55,4,5,11,5
3,115.2,3,5,24,3
5,310.0,4,2,11,4
3,181.5,3,5,9,3
3,158.0,3,4,10,3
3,200.0,4,5,10,5
4,240.0,4,5,11,4
4,192.0,2,1,11,4
3,252.0,2,5,11,2
3,163.0,2,4,11,3
3,130.0,2,4,11,3
3,84.0,1,3,10,2
3,171.03,3,2,10,3
4,138.86,3,4,11,3
4,138.86,3,4,11,3
3,175.0,3,5,11,3
2,90.0,3,2,25,3
5,253.0,3,5,11,2
4,280.0,4,5,10,3
3,255.0,4,1,10,4
3,160.0,2,1,11,3
3,155.0,2,5,10,3
2,46.0,1,3,11,1
3,230.4,2,1,11,4
2,186.0,3,1,11,3
5,338.0,4,5,11,2
2,51.0,1,5,11,2
3,170.0,3,5,11,4
3,141.32,3,4,11,3
2,79.0,1,3,11,2
4,200.0,4,5,11,3
3,265.0,4,5,10,3
3,116.0,2,5,9,4
3,266.0,2,4,11,4
3,198.0,3,1,10,4
4,176.0,3,4,10,4
4,225.0,4,5,11,3
4,176.0,3,4,10,3
4,283.26,3,1,11,4
3,181.0,4,2,9,3
3,148.0,3,1,9,3
4,182.8,3,5,11,3
2,72.0,1,5,11,1
2,49.0,1,5,11,2
3,105.0,2,5,11,3
4,48.0,1,5,10,2
3,120.0,2,2,11,3
4,155.0,3,5,11,3
4,300.0,4,5,11,4
3,259.0,2,5,10,3
4,283.0,4,1,11,4
3,173.0,3,4,10,3
3,173.0,3,4,10,3
5,450.0,4,5,10,4
7,168.0,4,5,11,3
3,121.0,2,1,10,3
4,179.05,2,1,11,3
7,508.0,3,5,10,4
4,190.0,4,5,11,2
4,300.0,3,4,11,3
4,320.0,3,4,10,4
3,144.9,3,1,11,3
3,155.0,3,1,11,3
3,182.0,3,1,11,3
3,143.0,3,1,11,4
3,1.37,3,5,11,4
2,168.0,2,5,10,3
3,220.0,3,5,10,3
4,295.0,4,4,10,4
4,260.0,1,4,10,4
6,1075.0,4,5,12,5
3,80.0,2,5,11,2
3,183.0,2,5,11,3
3,251.0,3,1,11,3
4,195.0,4,5,10,3
4,327.0,3,1,11,4
4,294.0,3,1,11,4
4,290.0,3,1,11,5
4,237.0,3,1,11,4
4,292.0,1,1,11,5
4,386.0,3,1,11,4
3,248.0,3,1,11,4
3,313.0,2,5,11,1
4,208.0,4,5,10,3
3,194.0,3,4,10,3
3,180.0,2,4,11,3
3,135.0,3,1,11,3
4,230.0,3,1,11,4
3,180.0,3,1,11,3
4,98.0,3,5,11,3
5,277.0,3,5,10,4
3,153.0,3,1,11,5
3,191.0,1,3,9,3
5,210.0,2,5,11,4
2,163.0,3,4,11,3
2,158.0,3,4,11,3
2,182.0,3,4,11,3
4,245.0,4,4,9,4
4,359.52,4,1,11,5
4,254.65,4,4,11,4
4,319.36,4,1,11,5
4,358.84,4,1,11,5
3,230.0,4,4,11,3
4,361.0,4,5,10,4
4,240.0,3,4,11,4
4,384.0,4,5,10,4
4,248.0,4,5,11,4
4,230.0,4,4,11,4
4,245.0,3,1,11,4
3,177.84,3,1,11,3
4,202.0,1,3,25,2
6,249.0,4,5,11,3
3,242.2,4,5,10,3
3,180.0,2,1,11,3
4,315.0,3,1,11,4
4,237.0,3,5,10,4
4,304.0,4,2,9,5
3,2120.0,3,4,11,3
3,119.0,1,1,11,3
2,140.0,1,3,10,2
3,444.0,4,5,10,4
3,272.0,3,5,10,3
3,162.0,2,4,10,3
4,250.0,3,5,10,4
3,140.0,2,5,10,3
3,140.9,2,5,11,3
3,173.2,2,2,10,3
3,200.0,3,4,10,4
4,173.05,3,2,9,4
3,226.0,3,5,10,3
4,304.0,4,5,11,3
3,215.0,4,1,10,3
3,220.0,3,1,9,4
3,62.0,1,5,10,1
1,40.0,1,2,10,2
3,380.0,2,1,10,4
3,380.0,2,1,10,4
3,194.87,3,4,10,3
3,203.0,3,5,9,3
3,187.0,3,4,10,3
4,211.2,2,5,10,4
4,140.0,2,5,10,3
4,293.0,2,5,10,4
3,254.0,2,1,10,3
